Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 04/11  12:00:00,0.857549898933,4.25998221818,0.0,3.40197101276,0.0,0.0936674367053,0.0936674367053,0.0936674367053,0.0652643324166,0.0142194351839,0.356901334072,0.310385360555,0.836632571393
 04/11  13:00:00,0.818679810621,3.57849524347,0.0,2.77726178502,0.0,0.0764671396335,0.0764671396335,0.0764671396335,0.0652643324166,0.0142194351839,0.324498591112,0.321118312275,0.779115563254
 04/11  14:00:00,0.796304383592,2.96404979172,0.0,2.21836401892,0.0,0.061078848277,0.061078848277,0.061078848277,0.0652643324166,0.0142194351839,0.299429816056,0.339199951659,0.722322455619
 04/11  15:00:00,0.823138346209,2.95443475149,0.0,2.1998270808,0.0,0.0605684654809,0.0605684654809,0.0605684654809,0.0652643324166,0.0142194351839,0.307918976015,0.358055137113,0.729945651445
 04/11  16:00:00,0.934401189647,2.83044145068,0.0,2.00199368529,0.0,0.0551214622635,0.0551214622635,0.0551214622635,0.0693433537151,0.0151081499967,0.354199750391,0.42351647328,0.799276918958
 04/11  17:00:00,1.14835914562,3.31619167691,0.0,2.33431554242,0.0,0.0642713745942,0.0642713745942,0.0642713745942,0.0938174982246,0.0204404425163,0.438213000532,0.514504829754,0.946438218088
 04/11  18:00:00,1.27085185334,3.28456883848,0.0,2.16512604904,0.0,0.0596130320914,0.0596130320914,0.0596130320914,0.171318844381,0.037326011211,0.396885009915,0.558596955739,1.0809679082
 04/11  19:00:00,1.39561092426,3.59743907451,0.0,2.45525154128,0.0,0.0676011398909,0.0676011398909,0.0676011398909,0.338558692541,0.073763313073,0.321993876894,0.576581901865,1.10247389003
 04/11  20:00:00,1.65766071788,4.06917030331,0.0,3.00543248921,0.0,0.0827494286104,0.0827494286104,0.0827494286104,0.554746829721,0.120865199974,0.285783239672,0.596404019907,1.02265886872
 04/11  21:00:00,1.69030772297,4.26597497427,0.0,3.30116148849,0.0,0.0908918193652,0.0908918193652,0.0908918193652,0.599616038926,0.130641057451,0.269566616575,0.582480190648,0.924693581927
 04/11  22:00:00,1.3758075787,4.08271269282,0.0,3.28102456113,0.0,0.0903373836095,0.0903373836095,0.0903373836095,0.448692342834,0.097758611198,0.217845283247,0.50406195781,0.766969496439
 04/11  23:00:00,1.07735905017,4.14852061999,0.0,3.52198914267,0.0,0.0969719300546,0.0969719300546,0.0969719300546,0.310005551811,0.0675423112045,0.147706795011,0.438020462091,0.596361629306
 04/11  24:00:00,0.78030226916,4.39707173113,0.0,3.95573219471,0.0,0.108914301028,0.108914301028,0.108914301028,0.159081772126,0.0346598649513,0.0982246905575,0.362309640498,0.416384476706
 04/12  01:00:00,0.676797143764,4.8266076952,0.0,4.46924431402,0.0,0.123052976446,0.123052976446,0.123052976446,0.0978964944452,0.0213291518652,0.083814778355,0.333591742652,0.334386344605
 04/12  02:00:00,0.633056994826,5.24422384556,0.0,4.91004970074,0.0,0.135189796691,0.135189796691,0.135189796691,0.0652643324166,0.0142194351839,0.0715474182325,0.329724012302,0.311463508675
 04/12  03:00:00,0.630555169252,5.59884132035,0.0,5.25911202281,0.0,0.14480062901,0.14480062901,0.14480062901,0.0652643324166,0.0142194351839,0.0640760367584,0.325082735883,0.31733834191
 04/12  04:00:00,0.63845526029,6.03933809689,0.0,5.63527385049,0.0,0.155157599735,0.155157599735,0.155157599735,0.0652643324166,0.0142194351839,0.0738992009315,0.312802692023,0.382519112117
 04/12  05:00:00,0.692414800967,6.34221390302,0.0,5.65099543,0.0,0.155590466461,0.155590466461,0.155590466461,0.0693433537151,0.0151081499967,0.0861981667443,0.34906266405,0.667175834759
 04/12  06:00:00,0.86517072854,7.30516715362,0.0,6.07796182057,0.0,0.167346253683,0.167346253683,0.167346253683,0.114212562921,0.024884007474,0.138308322259,0.403307582203,1.19942642885
 04/12  07:00:00,1.09029338489,7.09282723663,0.0,5.71564293311,0.0,0.157370424574,0.157370424574,0.157370424574,0.212109057366,0.0462131593392,0.213944220876,0.428544522734,1.34766713655
 04/12  08:00:00,1.01997639479,7.03535031242,0.0,5.69985003513,0.0,0.156935594216,0.156935594216,0.156935594216,0.171318844381,0.037326011211,0.27497430448,0.362309640498,1.31054521758
 04/12  09:00:00,0.912474407588,6.7169457016,0.0,5.50137178037,0.0,0.151470835906,0.151470835906,0.151470835906,0.0815804176106,0.0177742926139,0.336182059337,0.308354802121,1.19433514743
 04/12  10:00:00,0.920445008004,6.77347425541,0.0,5.69592525563,0.0,0.156827532145,0.156827532145,0.156827532145,0.0652643324166,0.0142194351839,0.351414911732,0.315606796526,1.05581072518
 04/12  11:00:00,0.90548247379,5.5505080355,0.0,4.59764718862,0.0,0.126588329359,0.126588329359,0.126588329359,0.0652643324166,0.0142194351839,0.366594887045,0.315703489785,0.931115912268
 04/12  12:00:00,0.868173488308,4.64408427029,0.0,3.78781634361,0.0,0.10429102608,0.10429102608,0.10429102608,0.0652643324166,0.0142194351839,0.356901334072,0.310385360555,0.834889292661
 04/12  13:00:00,0.834084204957,4.13650111332,0.0,3.33674440612,0.0,0.0918715339694,0.0918715339694,0.0918715339694,0.0652643324166,0.0142194351839,0.324498591112,0.321118312275,0.777638812001
 04/12  14:00:00,0.816421079131,3.6928529683,0.0,2.94899589593,0.0,0.0811955438157,0.0811955438157,0.0811955438157,0.0652643324166,0.0142194351839,0.299429816056,0.339199951659,0.720493755182
 04/12  15:00:00,0.830976177966,3.23744015049,0.0,2.48449459574,0.0,0.0684062972372,0.0684062972372,0.0684062972372,0.0652643324166,0.0142194351839,0.307918976015,0.358055137113,0.728283535496
 04/12  16:00:00,0.936776078925,2.9149446017,0.0,2.08824889596,0.0,0.0574963515424,0.0574963515424,0.0574963515424,0.0693433537151,0.0151081499967,0.354199750391,0.42351647328,0.797524859318
 04/12  17:00:00,1.1425328385,3.10237909756,0.0,2.12270595181,0.0,0.0584450674739,0.0584450674739,0.0584450674739,0.0938174982246,0.0204404425163,0.438213000532,0.514504829754,0.94423522935
 04/12  18:00:00,1.2577557816,2.80681476698,0.0,1.68948095819,0.0,0.046516960351,0.046516960351,0.046516960351,0.171318844381,0.037326011211,0.396885009915,0.558596955739,1.07885892756
 04/12  19:00:00,1.3770679096,2.92232262839,0.0,1.78177524481,0.0,0.0490581252281,0.0490581252281,0.0490581252281,0.338558692541,0.073763313073,0.321993876894,0.576581901865,1.10083374037
 04/12  20:00:00,1.62774648936,2.98159709278,0.0,1.91895738225,0.0,0.0528352000848,0.0528352000848,0.0528352000848,0.554746829721,0.120865199974,0.285783239672,0.596404019907,1.02156076516
 04/12  21:00:00,1.66116332527,3.2069945545,0.0,2.24264638822,0.0,0.061747421666,0.061747421666,0.061747421666,0.599616038926,0.130641057451,0.269566616575,0.582480190648,0.924228262432
 04/12  22:00:00,1.36071397973,3.53459200566,0.0,2.73282992715,0.0,0.0752437846377,0.0752437846377,0.0752437846377,0.448692342834,0.097758611198,0.217845283247,0.50406195781,0.767043443249
 04/12  23:00:00,1.07584843378,4.09404737777,0.0,3.46712404373,0.0,0.0954613136613,0.0954613136613,0.0954613136613,0.310005551811,0.0675423112045,0.147706795011,0.438020462091,0.596753486021
 04/12  24:00:00,0.780509522471,4.40506295707,0.0,3.96325956794,0.0,0.109121554338,0.109121554338,0.109121554338,0.159081772126,0.0346598649513,0.0982246905575,0.362309640498,0.416848329415
 04/13  01:00:00,0.677443106316,4.85019135884,0.0,4.49270546502,0.0,0.123698938998,0.123698938998,0.123698938998,0.0978964944452,0.0213291518652,0.083814778355,0.333591742652,0.33450885725
 04/13  02:00:00,0.631109765214,5.17352022201,0.0,4.83932695087,0.0,0.133242567078,0.133242567078,0.133242567078,0.0652643324166,0.0142194351839,0.0715474182325,0.329724012302,0.311482634993
 04/13  03:00:00,0.625455299693,5.4137362308,0.0,5.07388640952,0.0,0.139700759451,0.139700759451,0.139700759451,0.0652643324166,0.0142194351839,0.0640760367584,0.325082735883,0.317458865645
 04/13  04:00:00,0.63134547946,5.78089581512,0.0,5.37704890979,0.0,0.148047818905,0.148047818905,0.148047818905,0.0652643324166,0.0142194351839,0.0738992009315,0.312802692023,0.382301771042
 04/13  05:00:00,0.685860951047,6.10337596337,0.0,5.41296172015,0.0,0.14903661654,0.14903661654,0.14903661654,0.0693433537151,0.0151081499967,0.0861981667443,0.34906266405,0.66637160495
 04/13  06:00:00,0.843748780669,6.52486644458,0.0,5.29992360089,0.0,0.145924305812,0.145924305812,0.145924305812,0.114212562921,0.024884007474,0.138308322259,0.403307582203,1.19716393949
 04/13  07:00:00,1.07416644432,6.50469108081,0.0,5.1299176665,0.0,0.141243484006,0.141243484006,0.141243484006,0.212109057366,0.0462131593392,0.213944220876,0.428544522734,1.34525624734
 04/13  08:00:00,0.999666244082,6.29526606491,0.0,4.96219192905,0.0,0.136625443512,0.136625443512,0.136625443512,0.171318844381,0.037326011211,0.27497430448,0.362309640498,1.30811907614
