Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 02/07  15:00:00,0.925346464564,6.47358901829,0.0,5.8268190892,0.15601583389,0.15601583389,0.15601583389,0.0827172644472,0.0171380816544,0.292551191427,0.361576093145,0.621863191056
 02/07  16:00:00,0.977321300507,6.63195549553,0.0,5.977480475,0.160049863672,0.160049863672,0.160049863672,0.0973144732719,0.0201624582272,0.302771399031,0.381675106305,0.628183785938
 02/07  17:00:00,1.15917562903,6.57110893194,0.0,5.85088382092,0.156660178451,0.156660178451,0.156660178451,0.150837388859,0.0312518152405,0.353623489359,0.45145475712,0.689127188399
 02/07  18:00:00,1.53508712923,7.35191212031,0.0,6.49474076161,0.173899752216,0.173899752216,0.173899752216,0.291943351027,0.0604873746817,0.444963271704,0.548445379597,0.81939235269
 02/07  19:00:00,1.81652555563,7.4247526838,0.0,6.44438612405,0.172551483006,0.172551483006,0.172551483006,0.501169368817,0.103836653457,0.398173901519,0.595446148832,0.939349961796
 02/07  20:00:00,1.85973898596,6.1993480658,0.0,5.19829095053,0.13918669604,0.13918669604,0.13918669604,0.642275330985,0.133072212898,0.315239230802,0.61461751523,0.958719920617
 02/07  21:00:00,1.7781459752,5.74174069433,0.0,4.81023725264,0.12879637495,0.12879637495,0.12879637495,0.598483842089,0.123999111684,0.275771399459,0.635747247013,0.887710750647
 02/07  22:00:00,1.62114194308,5.6061415922,0.0,4.76242583142,0.127516201559,0.127516201559,0.127516201559,0.496303655472,0.102828532683,0.258240654531,0.620904898834,0.800945467197
 02/07  23:00:00,1.3327454862,5.47541643031,0.0,4.77631265982,0.12788802795,0.12788802795,0.12788802795,0.369794902129,0.0766173355626,0.205783602099,0.537313618463,0.662091562582
 02/07  24:00:00,1.06197558038,5.49516214807,0.0,4.9511148027,0.132568437908,0.132568437908,0.132568437908,0.257883288821,0.0534305150148,0.135829802162,0.466915536473,0.511884425398
 02/08  01:00:00,0.784881694153,5.5501674624,0.0,5.17071145496,0.138448242017,0.138448242017,0.138448242017,0.131374466689,0.0272193178942,0.0862813993051,0.386210268249,0.35285237363
 02/08  02:00:00,0.682099390444,5.72103237492,0.0,5.41611882181,0.145019140202,0.145019140202,0.145019140202,0.0778515511019,0.0161299608809,0.07215281313,0.355597925129,0.280418614054
 02/08  03:00:00,0.636345892667,5.7106642775,0.0,5.42583704165,0.14527935013,0.14527935013,0.14527935013,0.0535229499812,0.0110893513124,0.0596311906089,0.351475050635,0.260616296083
 02/08  04:00:00,0.624043916343,5.70655361613,0.0,5.41639576019,0.145026555358,0.145026555358,0.145026555358,0.0535229499812,0.0110893513124,0.0525294584498,0.346527601241,0.266287715326
 02/08  05:00:00,0.620404525069,5.72272769521,0.0,5.37564180531,0.143935348963,0.143935348963,0.143935348963,0.0535229499812,0.0110893513124,0.06307140009,0.333437474722,0.324117447041
 02/08  06:00:00,0.675789949695,5.90460452477,0.0,5.3020615204,0.141965202073,0.141965202073,0.141965202073,0.0583886702053,0.0120974749363,0.0759011793751,0.372089423106,0.576912068136
 02/08  07:00:00,0.847872789113,6.22650251704,0.0,5.14795893318,0.137839032497,0.137839032497,0.137839032497,0.111911613308,0.0231868205478,0.129674584873,0.429912737888,1.04892955754
 02/08  08:00:00,1.11014754738,6.64380207177,0.0,5.4329605259,0.145470084786,0.145470084786,0.145470084786,0.223823226615,0.0463736553479,0.207318086672,0.456814493963,1.17937442416
 02/08  09:00:00,1.04714446882,6.25735512429,0.0,5.08516305885,0.136157643295,0.136157643295,0.136157643295,0.1994945911,0.041333037228,0.268600928953,0.386210268249,1.14558843163
 02/08  10:00:00,0.922665239858,5.96475243979,0.0,4.90006753581,0.13120162322,0.13120162322,0.13120162322,0.0973144732719,0.0201624582272,0.329942516084,0.328696169054,1.04204306032
 02/08  11:00:00,0.942306793741,6.61020870895,0.0,5.66794650907,0.1517619455,0.1517619455,0.1517619455,0.0778515511019,0.0161299608809,0.344788777527,0.336426558731,0.91908785754
