Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/02  09:00:00,1.54984415535,0.0,0.0,0.0,0.0,0.0,0.0,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.570032262137
 01/02  10:00:00,1.34761732108,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.508877443217
 01/02  11:00:00,1.27390050057,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.344876619894,0.353272489644,0.438022046472
 01/02  12:00:00,1.22736697884,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.353380722637,0.37513718577
 01/02  13:00:00,1.16312665717,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.347427908014,0.326123430696
 01/02  14:00:00,1.11267384934,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.359441770253,0.297654951441
 01/02  15:00:00,1.08530925689,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.379681339973,0.268800872268
 01/02  16:00:00,1.15270229572,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.400786773637,0.272589547586
 01/02  17:00:00,1.42150214972,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.47406051,0.307515171079
 01/02  18:00:00,1.92305603047,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.445069937436,0.575907756555,0.383474833604
 01/02  19:00:00,2.27152571097,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.625262001432,0.454067746564
 01/02  20:00:00,2.23579839637,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.645393338158,0.465958440167
 01/02  21:00:00,2.06663956963,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.275874927963,0.667581101753,0.423826184983
 01/02  22:00:00,1.87280602809,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.258342283024,0.65199555074,0.372854272474
