Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 05/31  07:00:00,1.42484944918,1.56845655916,0.0,1.53944338281,0.0,0.0379879571771,0.0379879571771,0.0379879571771,0.151861901875,0.0327150815625,0.214170541178,0.421217987177,0.535251980213
 05/31  08:00:00,1.3365017556,1.37803243432,0.0,1.35350346956,0.0,0.0334484362585,0.0334484362585,0.0334484362585,0.114740121342,0.0247180654388,0.275218193109,0.356115477877,0.515617461575
 05/31  09:00:00,1.21940114455,1.1922857462,0.0,1.17140961367,0.0,0.0290863045984,0.0290863045984,0.0290863045984,0.06074476075,0.0130860360574,0.336436577975,0.303083068842,0.460320396327
 05/31  10:00:00,1.16680037815,1.23521721684,0.0,1.21385011224,0.0,0.0303694391864,0.0303694391864,0.0303694391864,0.0506206366138,0.0109050294758,0.351641232033,0.310211080809,0.396408960035
 05/31  11:00:00,1.10633924056,0.44607228612,0.0,0.424698635218,0.0,0.0106488500146,0.0106488500146,0.0106488500146,0.0506206366138,0.0109050294758,0.366855520645,0.310306120969,0.340359082841
 05/31  12:00:00,1.03726560848,0.0273803401226,0.0,0.00636673540758,0.0,0.000159930349923,0.000159930349923,0.000159930349923,0.0506206366138,0.0109050294758,0.357197296466,0.305078912193,0.296659803378
 05/31  13:00:00,0.989890979255,0.0217402433827,0.0,0.0,0.0,0.0,0.0,0.0,0.0506206366138,0.0109050294758,0.324743059292,0.315628369904,0.271349883969
 05/31  14:00:00,0.956697731039,0.0229644004175,0.0,0.0,0.0,0.0,0.0,0.0,0.0506206366138,0.0109050294758,0.299663707888,0.333400879742,0.245463477319
 05/31  15:00:00,0.98736056541,0.0242409278068,0.0,0.0,0.0,0.0,0.0,0.0,0.0506206366138,0.0109050294758,0.308214938409,0.351933710857,0.249042250055
 05/31  16:00:00,1.13331448936,0.0286727690504,0.0,0.0,0.0,0.0,0.0,0.0,0.0539953446592,0.0116320310976,0.354668497169,0.41627589888,0.28009871755
