Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 12/04  15:00:00,1.02149618675,6.01167793994,0.0,5.30517649847,0.0,0.146068935337,0.146068935337,0.146068935337,0.14628747,0.0318723125,0.292642171022,0.387513297889,0.679810411449
 12/04  16:00:00,1.11974651104,5.97006942601,0.0,5.25497107974,0.0,0.144686615246,0.144686615246,0.144686615246,0.202016057864,0.0440141336915,0.302863615842,0.409054088393,0.686923635853
 12/04  17:00:00,1.45223622811,6.46741122457,0.0,5.68063959032,0.0,0.156406667569,0.156406667569,0.156406667569,0.362235612136,0.0789219105958,0.353720743409,0.4838392944,0.753445889822
 12/04  18:00:00,2.02374852671,8.26173256252,0.0,7.32762123641,0.0,0.201753482257,0.201753482257,0.201753482257,0.633912342136,0.138113348096,0.445069937436,0.587787416781,0.893625872654
 12/04  19:00:00,2.27929299417,7.51807925203,0.0,6.45334423534,0.0,0.177681764611,0.177681764611,0.177681764611,0.835928316407,0.182127481787,0.398283704478,0.638159726883,1.02078003368
 12/04  20:00:00,2.12904745366,7.90459840321,0.0,6.81712185256,0.0,0.187697757342,0.187697757342,0.187697757342,0.780199812136,0.169985660596,0.315345896534,0.658706327056,1.0421063648
 12/04  21:00:00,2.04611832558,8.51058136078,0.0,7.49754745176,0.0,0.206432109136,0.206432109136,0.206432109136,0.71053914,0.154808375,0.275874927963,0.681351773484,0.96610395658
 12/04  22:00:00,1.88581197302,8.73822411401,0.0,7.8198552434,0.0,0.215306301349,0.215306301349,0.215306301349,0.599081964271,0.130524696192,0.258342283024,0.665444728188,0.872534559089
 12/04  23:00:00,1.56673840499,8.93112695085,0.0,8.16921428374,0.0,0.224925303297,0.224925303297,0.224925303297,0.445828452136,0.0971346605958,0.205880856148,0.57585713281,0.722248944345
 12/04  24:00:00,1.26672449374,9.00283465663,0.0,8.40842703993,0.0,0.231511616236,0.231511616236,0.231511616236,0.31347315,0.0682978125,0.135920781757,0.500409133249,0.559940579653
 12/05  01:00:00,0.954414146572,9.20248944283,0.0,8.78540050076,0.0,0.241890933888,0.241890933888,0.241890933888,0.160219637864,0.0349077586915,0.0863692416722,0.413914574456,0.388579452478
 12/05  02:00:00,0.837422521036,9.35111666488,0.0,9.01426225519,0.0,0.248192249747,0.248192249747,0.248192249747,0.0975250078643,0.0212482144043,0.0722387554862,0.381106293534,0.310604679492
 12/05  03:00:00,0.781850405449,9.46670412403,0.0,9.1518789015,0.0,0.251981288061,0.251981288061,0.251981288061,0.06269463,0.0136595625,0.0597152550472,0.376687669841,0.288879837027
 12/05  04:00:00,0.772227998372,9.57343869862,0.0,9.25299905704,0.0,0.2547654581,0.2547654581,0.2547654581,0.06269463,0.0136595625,0.0526110263622,0.371385321409,0.294859469711
 12/05  05:00:00,0.770737758354,9.70754985853,0.0,9.32557332103,0.0,0.256763665978,0.256763665978,0.256763665978,0.06269463,0.0136595625,0.0631517086927,0.357356191184,0.357362660054
 12/05  06:00:00,0.833142886539,9.97120480088,0.0,9.31347727077,0.0,0.256430621982,0.256430621982,0.256430621982,0.0696606972136,0.0151772910596,0.0759814879778,0.398780788307,0.630260421114
 12/05  07:00:00,1.03637402059,10.2732486048,0.0,9.10142846337,0.0,0.25059222178,0.25059222178,0.25059222178,0.14628747,0.0318723125,0.129758030703,0.460751985603,1.14008459802
 12/05  08:00:00,1.35683675612,10.8651784528,0.0,9.54960491496,0.0,0.262931991653,0.262931991653,0.262931991653,0.299540982136,0.0652623480958,0.207405929039,0.489583505201,1.28185214533
 12/05  09:00:00,1.30294475196,10.2422844704,0.0,8.96761738551,0.0,0.246907963267,0.246907963267,0.246907963267,0.29257494,0.063744625,0.268690649238,0.413914574456,1.2461575953
 12/05  10:00:00,1.134566535,9.87632327739,0.0,8.71740770303,0.0,0.240018868825,0.240018868825,0.240018868825,0.160219637864,0.0349077586915,0.330033495679,0.352274773936,1.13465169331
 12/05  11:00:00,1.15408134284,10.8457423757,0.0,9.81869332055,0.0,0.270340879355,0.270340879355,0.270340879355,0.132355302136,0.0288368480957,0.344876619894,0.360559693361,1.00221452775
 12/05  12:00:00,1.1286555276,9.20855841697,0.0,8.30127950134,0.0,0.228561492543,0.228561492543,0.228561492543,0.132355302136,0.0288368480957,0.361119725873,0.360670158953,0.882436779656
 12/05  13:00:00,1.09571460762,8.4773084714,0.0,7.66235971491,0.0,0.210969932112,0.210969932112,0.210969932112,0.132355302136,0.0288368480957,0.3518459739,0.354594551375,0.790525094483
 12/05  14:00:00,1.06292165572,8.02151936665,0.0,7.260793323,0.0,0.199913490286,0.199913490286,0.199913490286,0.132355302136,0.0288368480957,0.317847783081,0.366856232124,0.735457825092
 12/05  15:00:00,1.06699827162,7.66552253347,0.0,6.95779750737,0.0,0.191571020207,0.191571020207,0.191571020207,0.14628747,0.0318723125,0.292642171022,0.387513297889,0.681033996084
 12/05  16:00:00,1.16279710928,7.53482448803,0.0,6.81855488723,0.0,0.187737213493,0.187737213493,0.187737213493,0.202016057864,0.0440141336915,0.302863615842,0.409054088393,0.68809489038
 12/05  17:00:00,1.4866709517,7.71916456829,0.0,6.93129761644,0.0,0.190841391164,0.190841391164,0.190841391164,0.362235612136,0.0789219105958,0.353720743409,0.4838392944,0.754541207418
 12/05  18:00:00,2.04810366679,9.14772825257,0.0,8.21219204878,0.0,0.226108622341,0.226108622341,0.226108622341,0.633912342136,0.138113348096,0.445069937436,0.587787416781,0.895050750335
 12/05  19:00:00,2.29387493017,8.05016692933,0.0,6.98295543581,0.0,0.192263700615,0.192263700615,0.192263700615,0.835928316407,0.182127481787,0.398283704478,0.638159726883,1.02325651051
 12/05  20:00:00,2.13265744799,8.03799170118,0.0,6.94823567934,0.0,0.191307751673,0.191307751673,0.191307751673,0.780199812136,0.169985660596,0.315345896534,0.658706327056,1.04438583599
